,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
881,002486,嘉麟杰,-0.12,-470.48,,-10.56,,-10231.95,-470.32,,04-22
882,002309,中利科技,0.73,40.38,,9.47,,41525.5,45.41,10派1,04-22
883,300042,朗科科技,0.18,21.04,,2.91,,2428.72,21.02,,04-22
884,600235,民丰特纸,-0.44,-4500.0,,-11.69,,-15518.91,-3749.83,,04-22
885,002640,跨境通,0.27,12.5,,8.81,,16838.67,403.39,10派0.53转10,04-22
886,002650,加加食品,0.13,-55.17,,8.22,,14732.18,10.86,10派0.4,04-22
887,600522,中天科技,0.99,30.0,,11.13,,98772.85,74.66,10派1送3转12,04-22
888,600094,大名城,0.23,7.67,,8.45,,45724.16,32.37,,04-22
889,000960,锡业股份,-1.34,-4557.67,,-22.62,,-196862.73,-5809.64,,04-22
890,002682,龙洲股份,0.17,70.0,,3.87,,4478.2,117.43,10派0.75,04-22
891,002698,博实股份,0.26,-44.68,,10.5,,17679.28,-5.62,10派0.7,04-22
892,002446,盛路通信,0.32,-3.03,,8.99,,12132.33,151.63,10派0.4,04-22
893,300061,康耐特,0.21,-12.17,,12.43,,5121.33,39.45,10派0.2,04-22
894,000937,冀中能源,0.1,916.33,,1.92,,35181.3,1343.4,10派0.05,04-22
895,002579,中京电子,0.08,0.0,,4.57,,2924.0,51.04,10派0.3,04-22
896,600678,四川金顶,0.01,-111.31,,16.21,,419.58,-111.33,,04-22
897,603299,井神股份,0.13,-37.29,,3.75,,6182.42,-37.71,10派0.45,04-22
898,002609,捷顺科技,0.25,-28.57,,16.27,,14429.51,44.82,,04-22
899,600893,中航动力,0.53,6.0,,7.08,,103333.79,10.34,,04-22
900,002782,可立克,0.45,-2.34,,12.37,,5718.63,-2.33,,04-22
901,600213,亚星客车,0.09,-113.64,,36.41,,2019.63,-113.93,,04-21
902,601008,连云港,0.05,-50.0,,1.67,,5335.57,-48.55,10派0.2,04-21
903,002673,西部证券,0.72,30.6,,19.87,,197266.3,197.15,10派2.2,04-21
904,002379,*ST鲁丰,-0.13,-65.76,,-9.46,,-11838.55,-65.76,,04-21
905,002384,东山精密,0.04,-33.33,,1.39,,3171.38,-27.32,,04-21
906,002582,好想你,-0.02,-105.56,,-0.23,,-323.31,-106.02,,04-21
907,002693,双成药业,0.13,-40.91,,5.84,,5267.91,-10.61,,04-21
908,002322,理工环科,0.35,52.17,,6.18,,10787.2,75.22,10派1,04-21
909,002346,柘中股份,0.26,36.84,,7.93,,11582.23,37.21,10派1,04-21
